#class tools::histo::h1d
#title Deposited Energy (MeV)
#dimension 1
#axis fixed 1024 0 3.5
#annotation axis_x.title 
#bin_number 1026
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1107,1107,1107,1.02201,0.00241356
750,750,750,3.86304,0.020658
752,752,752,6.43963,0.0558958
695,695,695,8.32696,0.100458
738,738,738,11.4005,0.176815
740,740,740,13.9022,0.261889
690,690,690,15.3249,0.341039
699,699,699,17.8889,0.458531
731,731,731,21.2083,0.615994
762,762,762,24.7289,0.803279
745,745,745,26.74,0.960504
782,782,782,30.7627,1.2109
703,703,703,30.0004,1.28096
717,717,717,33.0887,1.52768
724,724,724,35.9186,1.78266
737,737,737,39.0858,2.07358
674,674,674,38.0777,2.15183
763,763,763,45.6291,2.72946
727,727,727,45.9702,2.90753
741,741,741,49.3815,3.29162
748,748,748,52.395,3.67081
751,751,751,55.2606,4.06697
762,762,762,58.5931,4.50619
743,743,743,59.6883,4.79576
739,739,739,61.8884,5.18363
764,764,764,66.601,5.80663
680,680,680,61.5793,5.57719
748,748,748,70.3244,6.61241
744,744,744,72.4539,7.05659
770,770,770,77.6028,7.82176
747,747,747,77.8605,8.11619
734,734,734,78.9765,8.49837
769,769,769,85.4847,9.50356
743,743,743,85.0848,9.74425
757,757,757,89.2743,10.529
765,765,765,92.7982,11.2576
741,741,741,92.4237,11.5286
747,747,747,95.701,12.2613
730,730,730,96.0443,12.637
730,730,730,98.5666,13.3095
739,739,739,102.283,14.1576
736,736,736,104.409,14.8121
757,757,757,109.952,15.9709
743,743,743,110.515,16.4389
695,695,695,105.692,16.0738
703,703,703,109.34,17.0067
726,726,726,115.378,18.3368
796,796,796,129.189,20.968
789,789,789,130.802,21.6852
759,759,759,128.408,21.7248
739,739,739,127.569,22.0222
790,790,790,139.043,24.4729
757,757,757,135.856,24.3825
776,776,776,141.934,25.961
681,681,681,126.862,23.6333
783,783,783,148.516,28.1708
752,752,752,145.168,28.0242
764,764,764,150.13,29.5019
720,720,720,143.962,28.7856
794,794,794,161.446,32.828
730,730,730,150.928,31.2053
759,759,759,159.564,33.5457
751,751,751,160.433,34.2734
752,752,752,163.218,35.4263
811,811,811,178.718,39.3844
760,760,760,170.131,38.0858
787,787,787,178.868,40.6534
775,775,775,178.807,41.2549
778,778,778,182.173,42.6578
787,787,787,186.921,44.3965
829,829,829,199.774,48.1428
764,764,764,186.663,45.607
770,770,770,190.79,47.2745
731,731,731,183.652,46.1404
766,766,766,195.005,49.6443
759,759,759,195.837,50.5304
772,772,772,201.883,52.7942
757,757,757,200.523,53.1174
749,749,749,200.994,53.9375
818,818,818,222.294,60.4098
782,782,782,215.191,59.2173
764,764,764,212.851,59.3012
775,775,775,218.526,61.6183
738,738,738,210.615,60.1073
781,781,781,225.583,65.1577
803,803,803,234.68,68.5867
777,777,777,229.735,67.9265
796,796,796,238.067,71.2019
779,779,779,235.667,71.2957
857,857,857,262.212,80.2282
793,793,793,245.281,75.8681
791,791,791,247.383,77.3693
771,771,771,243.766,77.0722
767,767,767,245.168,78.3679
738,738,738,238.393,77.0078
789,789,789,257.516,84.0495
796,796,796,262.57,86.6124
786,786,786,261.932,87.2886
809,809,809,272.413,91.7296
821,821,821,279.258,94.9885
801,801,801,275.132,94.5043
815,815,815,282.709,98.0674
778,778,778,272.604,95.5184
843,843,843,298.21,105.492
841,841,841,300.408,107.307
773,773,773,278.683,100.472
870,870,870,316.689,115.279
844,844,844,310.107,113.942
845,845,845,313.369,116.214
834,834,834,312.182,116.856
874,874,874,330.14,124.706
820,820,820,312.522,119.111
838,838,838,322.19,123.875
818,818,818,317.345,123.116
823,823,823,322.089,126.054
853,853,853,336.796,132.981
849,849,849,338.046,134.601
857,857,857,344.174,138.223
814,814,814,329.706,133.546
825,825,825,336.951,137.62
815,815,815,335.655,138.239
804,804,804,333.88,138.652
853,853,853,357.161,149.548
856,856,856,361.369,152.556
835,835,835,355.296,151.181
869,869,869,372.751,159.889
944,944,944,408.187,176.501
879,879,879,383.076,166.949
906,906,906,397.963,174.807
926,926,926,409.891,181.438
969,969,969,432.242,192.811
954,954,954,428.824,192.758
1005,1005,1005,455.126,206.11
1094,1094,1094,499.216,227.804
1084,1084,1084,498.293,229.056
1049,1049,1049,485.873,225.046
1114,1114,1114,519.77,242.515
1137,1137,1137,534.347,251.124
1045,1045,1045,494.64,234.134
1119,1119,1119,533.536,254.389
1149,1149,1149,551.771,264.971
1177,1177,1177,569.282,275.347
1036,1036,1036,504.66,245.833
1093,1093,1093,536.059,262.91
1098,1098,1098,542.329,267.871
1039,1039,1039,516.687,256.945
1048,1048,1048,524.779,262.781
