#class tools::histo::h1d
#title Deposited Energy (MeV)
#dimension 1
#axis fixed 1024 0 3.5
#annotation axis_x.title 
#bin_number 1026
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
324,324,324,0.318258,0.000747322
246,246,246,1.28368,0.00692533
207,207,207,1.78381,0.0155724
221,221,221,2.6513,0.0320068
252,252,252,3.88218,0.0600549
237,237,237,4.45695,0.0840292
235,235,235,5.17782,0.114316
271,271,271,6.95195,0.178598
276,276,276,8.01473,0.233005
253,253,253,8.2116,0.266776
322,322,322,11.5599,0.415301
288,288,288,11.3402,0.44679
299,299,299,12.7778,0.546352
286,286,286,13.2144,0.610841
286,286,286,14.16,0.701361
288,288,288,15.2941,0.812469
288,288,288,16.2578,0.918019
320,320,320,19.1309,1.14405
335,335,335,21.1832,1.33979
300,300,300,20.0091,1.33485
310,310,310,21.6976,1.51895
302,302,302,22.215,1.63443
305,305,305,23.4463,1.80267
290,290,290,23.2931,1.87123
289,289,289,24.199,2.02654
325,325,325,28.3198,2.46803
301,301,301,27.2416,2.46578
321,321,321,30.1691,2.83573
343,343,343,33.4314,3.25883
312,312,312,31.4681,3.17415
365,365,365,38.0486,3.96666
308,308,308,33.1906,3.57697
341,341,341,37.8868,4.20974
339,339,339,38.829,4.44781
322,322,322,37.9687,4.47741
325,325,325,39.403,4.77753
317,317,317,39.5747,4.94087
278,278,278,35.6437,4.57032
323,323,323,42.4929,5.59055
343,343,343,46.3115,6.25329
349,349,349,48.3028,6.68563
317,317,317,44.9717,6.38028
337,337,337,48.931,7.10489
345,345,345,51.2956,7.62711
320,320,320,48.6657,7.40138
360,360,360,55.9321,8.69036
339,339,339,53.8819,8.56453
333,333,333,54.0689,8.77943
346,346,346,57.362,9.51016
309,309,309,52.2592,8.83856
372,372,372,64.2059,11.082
321,321,321,56.5405,9.95929
318,318,318,57.0868,10.2484
316,316,316,57.7942,10.5705
331,331,331,61.6926,11.4987
362,362,362,68.6614,13.0235
336,336,336,64.8829,12.5295
304,304,304,59.7251,11.7342
336,336,336,67.187,13.4351
308,308,308,62.6375,12.7388
321,321,321,66.3892,13.7309
314,314,314,66.0283,13.8848
309,309,309,66.019,14.1055
324,324,324,70.3025,15.2548
344,344,344,75.8014,16.7034
324,324,324,72.5226,16.2334
333,333,333,75.6658,17.1935
323,323,323,74.5089,17.1879
364,364,364,85.2359,19.9596
383,383,383,90.967,21.6061
289,289,289,69.6332,16.7781
304,304,304,74.3083,18.1638
337,337,337,83.5324,20.7055
329,329,329,82.6896,20.7832
332,332,332,84.5545,21.5349
293,293,293,75.6272,19.5206
307,307,307,80.2756,20.9911
332,332,332,87.9363,23.2919
331,331,331,88.8131,23.8305
287,287,287,78.0064,21.2024
310,310,310,85.3056,23.4746
339,339,339,94.4377,26.3085
327,327,327,92.2023,25.9981
329,329,329,93.8821,26.7901
306,306,306,88.3767,25.5246
351,351,351,102.568,29.9725
325,325,325,96.1231,28.43
336,336,336,100.451,30.0312
328,328,328,99.2533,30.0345
359,359,359,109.811,33.5892
304,304,304,94.0103,29.0725
344,344,344,107.591,33.6507
319,319,319,100.864,31.8922
334,334,334,106.742,34.1136
337,337,337,108.844,35.1548
327,327,327,106.764,34.8586
320,320,320,105.523,34.7974
326,326,326,108.661,36.219
362,362,362,121.89,41.0421
362,362,362,123.124,41.8778
348,348,348,119.505,41.0388
350,350,350,121.411,42.1164
338,338,338,118.436,41.5003
364,364,364,128.725,45.523
377,377,377,134.647,48.0903
355,355,355,128.033,46.1766
352,352,352,128.114,46.6291
387,387,387,142.183,52.2379
382,382,382,141.694,52.5586
361,361,361,135.134,50.5852
357,357,357,134.846,50.9346
391,391,391,149,56.7806
353,353,353,135.73,52.189
380,380,380,147.364,57.148
348,348,348,136.181,53.2915
346,346,346,136.616,53.942
344,344,344,136.952,54.5232
388,388,388,155.838,62.5919
352,352,352,142.551,57.7298
383,383,383,156.432,63.8935
374,374,374,154.02,63.4282
397,397,397,164.869,68.468
336,336,336,140.69,58.9104
403,403,403,170.121,71.8148
413,413,413,175.7,74.7471
358,358,358,153.595,65.8986
393,393,393,169.921,73.4686
393,393,393,171.276,74.6455
350,350,350,153.717,67.5112
342,342,342,151.387,67.0121
313,313,313,139.642,62.3005
362,362,362,162.697,73.1231
344,344,344,155.781,70.5464
303,303,303,138.24,63.0707
308,308,308,141.632,65.1287
288,288,288,133.368,61.761
290,290,290,135.3,63.1245
266,266,266,125.011,58.7509
234,234,234,110.761,52.428
222,222,222,105.857,50.4766
212,212,212,101.788,48.8714
170,170,170,82.2109,39.7568
149,149,149,72.5521,35.3277
148,148,148,72.5894,35.603
109,109,109,53.8335,26.5877
112,112,112,55.7124,27.7132
78,78,78,39.0308,19.5309
102,102,102,51.4261,25.928
65,65,65,32.989,16.7428
66,66,66,33.7392,17.2475
57,57,57,29.3155,15.0772
48,48,48,24.8537,12.8689
49,49,49,25.5492,13.3217
27,27,27,14.1629,7.42919
36,36,36,19.0072,10.0354
37,37,37,19.6512,10.4371
13,13,13,6.95292,3.71871
26,26,26,13.9978,7.53615
16,16,16,8.67796,4.70669
20,20,20,10.9029,5.94371
19,19,19,10.4211,5.71577
15,15,15,8.27448,4.56448
14,14,14,7.77396,4.31675
10,10,10,5.58614,3.12051
14,14,14,7.86508,4.41855
14,14,14,7.91347,4.47308
20,20,20,11.3835,6.47922
21,21,21,12.0261,6.88704
29,29,29,16.707,9.62502
34,34,34,19.7078,11.4235
49,49,49,28.5688,16.6567
65,65,65,38.1099,22.3442
70,70,70,41.275,24.3375
102,102,102,60.4887,35.8716
128,128,128,76.3609,45.5548
139,139,139,83.3852,50.0223
179,179,179,108.01,65.1741
251,251,251,152.295,92.4062
294,294,294,179.385,109.452
337,337,337,206.804,126.909
394,394,394,243.089,149.981
466,466,466,289.121,179.381
511,511,511,318.762,198.844
634,634,634,397.672,249.438
727,727,727,458.46,289.114
794,794,794,503.434,319.202
880,880,880,560.93,357.549
881,881,881,564.661,361.91
1019,1019,1019,656.541,423.009
1037,1037,1037,671.664,435.037
1066,1066,1066,694.081,451.923
1161,1161,1161,759.959,497.449
1144,1144,1144,752.758,495.319
1184,1184,1184,783.052,517.881
1208,1208,1208,803.075,533.883
1115,1115,1115,745.083,497.892
1167,1167,1167,783.839,526.482
1115,1115,1115,752.709,508.136
1002,1002,1002,679.808,461.218
929,929,929,633.464,431.946
931,931,931,638.005,437.219
776,776,776,534.411,368.036
726,726,726,502.431,347.709
589,589,589,409.65,284.912
527,527,527,368.348,257.458
513,513,513,360.32,253.081
416,416,416,293.665,207.306
368,368,368,260.968,185.066
328,328,328,233.734,166.56
253,253,253,181.151,129.707
199,199,199,143.177,103.013
157,157,157,113.483,82.0284
118,118,118,85.6787,62.2106
103,103,103,75.1661,54.8539
88,88,88,64.513,47.2948
68,68,68,50.0831,36.8871
43,43,43,31.8223,23.5503
36,36,36,26.7675,19.9027
21,21,21,15.6779,11.7046
18,18,18,13.5056,10.1334
18,18,18,13.5653,10.2233
7,7,7,5.29749,4.00908
7,7,7,5.32165,4.04571
3,3,3,2.28915,1.74673
10,10,10,7.67611,5.89228
3,3,3,2.31285,1.7831
1,1,1,0.773495,0.598295
0,0,0,0,0
2,2,2,1.55965,1.21625
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
