#class tools::histo::h1d
#title Deposited Energy (MeV)
#dimension 1
#axis fixed 1024 0 3
#annotation axis_x.title 
#bin_number 1026
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
188,188,188,0.13067,0.000262564
120,120,120,0.55447,0.00264616
138,138,138,1.0215,0.00765255
140,140,140,1.43376,0.0147869
143,143,143,1.86084,0.024317
99,99,99,1.59268,0.0256878
126,126,126,2.39483,0.0455981
105,105,105,2.31521,0.0511159
120,120,120,2.99617,0.0748882
139,139,139,3.87437,0.108086
116,116,116,3.57647,0.110342
104,104,104,3.52667,0.119672
134,134,134,4.89737,0.179088
136,136,136,5.37519,0.212543
115,115,115,4.88098,0.207252
98,98,98,4.44689,0.201852
123,123,123,5.93546,0.286503
110,110,110,5.63424,0.288651
117,117,117,6.33226,0.342784
101,101,101,5.76834,0.329513
103,103,103,6.18886,0.371935
115,115,115,7.25199,0.457397
116,116,116,7.66834,0.507004
124,124,124,8.53685,0.587816
92,92,92,6.59933,0.473454
125,125,125,9.32853,0.696255
118,118,118,9.18013,0.714265
100,100,100,8.06505,0.650524
95,95,95,7.93598,0.663015
106,106,106,9.14741,0.78946
123,123,123,10.9757,0.979477
98,98,98,9.05421,0.836585
92,92,92,8.75303,0.832838
100,100,100,9.80852,0.962142
94,94,94,9.50939,0.962075
126,126,126,13.1074,1.36362
105,105,105,11.2243,1.19995
112,112,112,12.2976,1.35036
123,123,123,13.8668,1.56341
109,109,109,12.6121,1.4594
110,110,110,13.0588,1.55037
117,117,117,14.2238,1.72928
102,102,102,12.6946,1.58001
104,104,104,13.2509,1.68841
114,114,114,14.8794,1.94217
106,106,106,14.1255,1.88242
107,107,107,14.5868,1.98862
113,113,113,15.7241,2.18812
97,97,97,13.7891,1.96027
96,96,96,13.9078,2.01493
114,114,114,16.8752,2.49808
94,94,94,14.1803,2.13924
126,126,126,19.3642,2.97606
103,103,103,16.1431,2.53015
102,102,102,16.3051,2.6065
101,101,101,16.4403,2.67614
94,94,94,15.5527,2.57332
100,100,100,16.8357,2.8345
107,107,107,18.3407,3.14383
98,98,98,17.0958,2.98238
124,124,124,21.9786,3.89571
117,117,117,21.0837,3.79941
109,109,109,19.9364,3.6465
98,98,98,18.243,3.39608
100,100,100,18.8909,3.56875
101,101,101,19.3867,3.72129
99,99,99,19.2824,3.75571
79,79,79,15.6198,3.08837
106,106,106,21.2694,4.26787
96,96,96,19.5472,3.98022
