#class tools::histo::h1d
#title Deposited Energy (MeV)
#dimension 1
#axis fixed 1024 0 3
#annotation axis_x.title 
#bin_number 1026
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
97,97,97,0.0710498,0.000148711
61,61,61,0.259839,0.00114959
60,60,60,0.446601,0.00337104
60,60,60,0.616583,0.00637683
58,58,58,0.766423,0.0101745
48,48,48,0.780326,0.0127194
39,39,39,0.737261,0.0139729
49,49,49,1.08315,0.0239752
48,48,48,1.1917,0.0296183
46,46,46,1.2824,0.0357839
67,67,67,2.05759,0.0632401
51,51,51,1.72623,0.058469
44,44,44,1.61314,0.0591695
51,51,51,2.0244,0.0803855
50,50,50,2.12521,0.0903643
58,58,58,2.63655,0.119891
45,45,45,2.17357,0.105016
51,51,51,2.61338,0.133947
55,55,55,2.96994,0.160403
44,44,44,2.50829,0.143018
36,36,36,2.15743,0.129322
63,63,63,3.96289,0.249326
68,68,68,4.48484,0.295839
47,47,47,3.22585,0.221435
45,45,45,3.23055,0.231951
44,44,44,3.28585,0.245407
51,51,51,3.9546,0.306676
56,56,56,4.5058,0.362571
40,40,40,3.33349,0.277833
41,41,41,3.54196,0.306013
44,44,44,3.93711,0.352317
60,60,60,5.54312,0.512148
64,64,64,6.09991,0.581437
56,56,56,5.50703,0.541595
47,47,47,4.74517,0.479107
48,48,48,4.99595,0.520023
41,41,41,4.38492,0.468993
38,38,38,4.17942,0.459701
52,52,52,5.86376,0.661265
42,42,42,4.85888,0.562148
40,40,40,4.75038,0.564175
57,57,57,6.92961,0.842482
41,41,41,5.10586,0.635882
48,48,48,6.12594,0.78184
43,43,43,5.60347,0.730244
58,58,58,7.74322,1.03378
49,49,49,6.68157,0.911123
60,60,60,8.33991,1.15928
42,42,42,5.96892,0.848306
52,52,52,7.5455,1.09492
50,50,50,7.39548,1.0939
38,38,38,5.7281,0.863479
40,40,40,6.15558,0.947313
42,42,42,6.583,1.03184
50,50,50,7.98761,1.27608
43,43,43,7.00895,1.14248
42,42,42,6.95081,1.15035
47,47,47,7.9121,1.33197
48,48,48,8.22913,1.41084
53,53,53,9.24631,1.61313
35,35,35,6.19153,1.09531
42,42,42,7.57251,1.36534
64,64,64,11.7209,2.1466
36,36,36,6.69588,1.24544
57,57,57,10.779,2.0384
40,40,40,7.68149,1.47516
40,40,40,7.80239,1.52196
48,48,48,9.48315,1.87358
38,38,38,7.62421,1.52972
34,34,34,6.92604,1.41091
45,45,45,9.29482,1.91989
48,48,48,10.0505,2.10446
45,45,45,9.56151,2.03164
39,39,39,8.39462,1.80694
33,33,33,7.20096,1.57134
47,47,47,10.3942,2.29877
47,47,47,10.533,2.36053
41,41,41,9.30304,2.11092
37,37,37,8.5079,1.95636
45,45,45,10.4927,2.44663
37,37,37,8.72204,2.05608
39,39,39,9.31253,2.2237
35,35,35,8.46201,2.0459
28,28,28,6.84253,1.67218
39,39,39,9.65171,2.38864
39,39,39,9.76586,2.44546
